6.1101,17.592
5.5277,3.1302
8.5186,13.662
7.0032,11.854
5.8598,6.8233
8.3829,11.886
7.4764,4.3483
8.5781,12
6.4862,6.5987
5.0546,3.8166
5.7107,3.2522
14.164,15.505
5.734,1.1551
8.4084,7.2258
5.6407,2.71618
5.3794,3.5129
6.3654,4.3048
5.1301,2.56077
6.4296,3.6518
7.0708,25.3893
6.1891,4.1386
20.27,21.767
5.4901,3.263
6.3261,4.1875
5.5649,2.0825
18.945,22.638
12.828,13.501
10.957,11.0467
13.176,14.692
22.203,24.147
5.2524,2.22
6.5894,3.9966
9.2482,12.134
5.8918,4.8495
8.2111,6.5426
7.9334,5.5623
8.0959,10.1164
5.6063,3.3928
12.836,12.117
6.3534,6.4974
5.4069,4.55657
6.8825,4.9115
11.708,12.3854
5.7737,4.4406
7.8247,6.7318
7.0931,7.0463
5.0702,4.1337
5.8014,3.844
11.7,12.0043
5.5416,2.0179
7.5402,6.7504
5.3077,2.8396
7.4239,5.2885
7.6031,6.9981
6.3328,5.4233
6.3589,5.4211
6.2742,7.4756
5.6397,2.6042
9.3102,7.9624
9.4536,8.4141
8.8254,9.1694
5.1793,3.74279
21.279,17.929
14.908,12.054
18.959,17.054
7.2182,9.8852
8.2951,7.7442
10.236,7.7754
5.4994,8.0173
20.341,20.992
10.136,9.6799
7.3345,8.0259
6.0062,7.2784
7.2259,9.3411
5.0269,3.6807
6.5479,6.29678
7.5386,7.8845
5.0365,3.7014
10.274,11.7526
5.1077,3.0576
5.7292,3.47953
5.1884,3.20421
6.3557,3.67861
9.7687,4.5435
6.5159,3.3436
8.5172,7.2415
9.1802,10.7981
6.002,3.92695
5.5204,3.152
5.0594,3.8214
5.7077,3.8451
7.6366,8.2959
5.8707,7.2029
5.3054,3.9869
8.2934,7.14454
13.394,9.0551
5.4369,3.61705
